us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
18845873,3066.3,2676,1.1459,1092.7,-0.039,-0.675,,0.00009624021558,0.0001924804312,,,,,,0.0002783910915,0.000000001733896446,5742.3
18877045,3069.3,2682,1.1444,1094.1,-0.047,-0.237,,0.00008321065096,0.0001792229405,,,,,,0.0002887206467,0.0000000003305351908,5751.3
18908291,3071.9,2687.6,1.143,1093.9,-0.045,0.068,,0.00007048119434,0.0001633882232,,,,,,0.0002624335915,-0.0000000008432906209,5759.5
18939505,3074.1,2692.7,1.1416,1092.1,-0.044,0.02,,0.00007037297678,0.0001823299853,,,,,,0.0002338694176,-0.0000000009141705796,5766.8
18970767,3076.3,2698.4,1.14,1089.7,-0.052,-0.256,,0.00010252467,0.0002434960912,,,,,,0.0002527029621,0.0000000006033685043,5774.7
19001979,3079.5,2706,1.138,1087.9,-0.064,-0.377,,0.0001601537476,0.0002946828956,,,,,,0.0003460207612,0.000000002985023325,5785.5
19033199,3084.5,2715.2,1.136,1087.7,-0.065,-0.03,,0.0002239928322,0.0003103900675,,,,,,0.0004548366432,0.000000003486347621,5799.7
19064450,3091.5,2724.9,1.1345,1089.2,-0.047,0.559,,0.0002595155709,0.0002755350506,,,,,,0.0005343828997,0.000000002547926219,5816.4
19095662,3099.6,2733.5,1.1339,1091.4,-0.019,0.891,,0.0002465972778,0.0002049639712,,,,,,0.0005350506216,0,5833.1
19126887,3107.3,2739.9,1.1341,1092.9,0.005,0.776,,0.0001765196739,0.0001123307016,,,,,,0.000451561249,-0.000000002674912616,5847.2
19158045,3112.8,2743.4,1.1347,1093,0.019,0.454,,0.00006717420511,-0.000006397543343,,,,,,0.0002888503755,-0.000000005210916685,5856.2
19189307,3114.9,2743.2,1.1355,1091.5,0.026,0.222,,-0.00005437911842,-0.0001247520952,,,,,,0.00006077666176,-0.000000007319908651,5858.1
19220569,3113.2,2739.3,1.1365,1089.4,0.032,0.186,,-0.0001442400154,-0.0002275786909,,,,,,-0.0001791312136,-0.000000007674105156,5852.5
19251767,3108.7,2732.2,1.1378,1087.8,0.041,0.289,,-0.0001922337562,-0.0002915545303,,,,,,-0.0003718187063,-0.000000006163632932,5840.9
19282979,3102.7,2723.1,1.1394,1087.8,0.053,0.393,,-0.000201793722,-0.0003299167201,,,,,,-0.0004837882866,-0.000000003588998661,5825.8
19314199,3096.4,2712.8,1.1414,1089.5,0.063,0.324,,-0.0002143931394,-0.0003391891459,,,,,,-0.000531710442,-0.000000001535375992,5809.2
19345450,3089.7,2702.2,1.1434,1091.8,0.064,0.015,,-0.0002466999872,-0.0003428168653,,,,,,-0.0005535822854,-0.0000000007005715356,5791.9
19376662,3082,2691.5,1.1451,1093.4,0.054,-0.322,,-0.0002818254604,-0.0003394715773,,,,,,-0.0005895168525,-0.000000001149869352,5773.5
