us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,dt,
19158045,3112.8,2743.4,1.1347,1093,0.019,0.454,,6.717420511E-005,-6.397543343E-006,,,,,,0.0002888504,-5.210916685E-009,5856.2,0.031158,32.0944861673
19189307,3114.9,2743.2,1.1355,1091.5,0.026,0.222,,-5.437911842E-005,-0.0001247521,,,,,,6.077666176E-005,-7.319908651E-009,5858.1,0.031262,31.9877167168
19220569,3113.2,2739.3,1.1365,1089.4,0.032,0.186,,-0.00014424,-0.0002275787,,,,,,-0.0001791312,-7.674105156E-009,5852.5,0.031262,31.9877167168
19251767,3108.7,2732.2,1.1378,1087.8,0.041,0.289,,-0.0001922338,-0.0002915545,,,,,,-0.0003718187,-6.163632932E-009,5840.9,0.031198,32.0533367524
19282979,3102.7,2723.1,1.1394,1087.8,0.053,0.393,,-0.0002017937,-0.0003299167,,,,,,-0.0004837883,-3.588998661E-009,5825.8,0.031212,32.0389593746
19314199,3096.4,2712.8,1.1414,1089.5,0.063,0.324,,-0.0002143931,-0.0003391891,,,,,,-0.0005317104,-1.535375992E-009,5809.2,0.03122,32.0307495195
19345450,3089.7,2702.2,1.1434,1091.8,0.064,0.015,,-0.0002467,-0.0003428169,,,,,,-0.0005535823,-7.005715356E-010,5791.9,0.031251,31.9989760328
19376662,3082,2691.5,1.1451,1093.4,0.054,-0.322,,-0.0002818255,-0.0003394716,,,,,,-0.0005895169,-1.149869352E-009,5773.5,0.031212,32.0389593746
19407887,3073.2,2680.9,1.1463,1093.1,0.04,-0.422,,-0.0002849276,-0.0003265463,,,,,,-0.000621297,-0.000000001,5754.1,0.031225,32.0256204964
19439123,3064.3,2670.7,1.1474,1091.1,0.033,-0.238,,-0.0002498318,-0.0002978764,,,,,,-0.0006114739,3.145907864E-010,5735,0.031236,32.0143424254
19470344,3056.5,2661.4,1.1484,1088.2,0.035,0.05,,-0.0001890299,-0.0002627195,,,,,,-0.0005477083,0.000000002,5717.9,0.031221,32.0297235835
19501556,3050.6,2653.2,1.1498,1086.2,0.043,0.257,,-0.0001217519,-0.0002210759,,,,,,-0.0004517493,3.073538519E-009,5703.8,0.031212,32.0389593746
19532767,3046.8,2646.3,1.1513,1086.1,0.05,0.247,,-6.725164927E-005,-0.0001697304,,,,,,-0.0003428278,3.48973081E-009,5693.1,0.031211,32.0399859024
19563993,3044.7,2641,1.1529,1087.8,0.048,-0.059,,-3.199078665E-005,-9.597235996E-005,,,,,,-0.000236982,3.391299445E-009,5685.7,0.031226,32.0245948889
19595252,3043.7,2638,1.1538,1090.1,0.03,-0.591,,-0.000009612,0.000003204,,,,,,-0.0001279631,3.491284685E-009,5681.7,0.031259,31.9907866534
19626463,3043.4,2638.1,1.1536,1091.6,-0.005,-1.13,,3.203895937E-006,0.0001153403,,,,,,-0.000006408,3.888644852E-009,5681.5,0.031211,32.0399859024
19657675,3043.5,2641.7,1.1521,1091.1,-0.049,-1.389,,2.879907843E-005,0.000217593,,,,,,0.0001185441,0.000000004,5685.2,0.031212,32.0389593746
19688926,3044.4,2648.5,1.1495,1088.8,-0.084,-1.141,,6.731416482E-005,0.0002916947,,,,,,0.0002463921,4.096115781E-009,5692.9,0.031251,31.9989760328
19720123,3046.5,2657.6,1.1463,1086,-0.1,-0.512,,0.000115307,0.0003235002,,,,,,0.0003590089,3.60362112E-009,5704.1,0.031197,32.0543642017
19751344,3050.1,2667.7,1.1434,1084.5,-0.096,0.143,,0.0001569909,0.0003235935,,,,,,0.0004388072,2.557884862E-009,5717.8,0.031221,32.0297235835
19782556,3055,2677.8,1.1409,1085.3,-0.079,0.527,,0.0001762199,0.0002851559,,,,,,0.0004805844,1.338111448E-009,5732.8,0.031212,32.0389593746
19813767,3060.5,2686.7,1.1391,1088.1,-0.057,0.714,,0.0001665279,0.0002209697,,,,,,0.0004613758,-6.154233508E-010,5747.2,0.031211,32.0399859024
19844993,3065.7,2693.6,1.1381,1091.6,-0.031,0.837,,0.0001536246,0.000144023,,,,,,0.0003874976,-2.367056449E-009,5759.3,0.031226,32.0245948889
19876238,3070.5,2698.1,1.138,1093.9,-0.004,0.874,,0.0001473179,8.326661329E-005,,,,,,0.0002976476,-2.877409035E-009,5768.6,0.031245,32.0051208193
19907463,3075.1,2700.7,1.1386,1094,0.019,0.735,,0.0001505831,5.446623094E-005,,,,,,0.0002305845,-2.146364412E-009,5775.8,0.031225,32.0256204964
19938675,3079.8,2702.4,1.1397,1092,0.033,0.45,,0.0001666026,5.767012687E-005,,,,,,0.0002050493,-8.177783051E-010,5782.2,0.031212,32.0389593746
19969887,3085,2704.2,1.1408,1089.5,0.037,0.112,,0.0001631582,7.678034423E-005,,,,,,0.0002242727,6.158969507E-010,5789.2,0.031212,32.0389593746
20001145,3090.1,2706.6,1.1417,1088.2,0.028,-0.287,,0.0001410302,0.0001121831,,,,,,0.0002399386,5.019178554E-010,5796.7,0.031258,31.9918100966
20032344,3094.5,2710.1,1.1419,1089.1,0.006,-0.71,,0.0001056845,0.0001473179,,,,,,0.0002532132,4.24680667E-010,5804.6,0.031199,32.0523093689
20063569,3097.8,2714.7,1.1411,1092,-0.023,-0.916,,7.372267453E-005,0.0001666774,,,,,,0.0002530024,0,5812.5,0.031225,32.0256204964
20094767,3100.1,2719.9,1.1398,1095.3,-0.044,-0.665,,3.842951387E-005,0.0001441107,,,,,,0.0002404,-4.035989201E-010,5820,0.031198,32.0533367524
20125993,3101.3,2724.4,1.1384,1097,-0.046,-0.067,,0,7.361177788E-005,,,,,,0.0001825402,-1.854600769E-009,5825.7,0.031226,32.0245948889
20157238,3101.3,2726.7,1.1374,1096.2,-0.031,0.46,,-7.048571062E-005,-3.524285531E-005,,,,,,7.361177788E-005,-3.488388298E-009,5828,0.031245,32.0051208193
20188450,3099.1,2725.6,1.137,1093.2,-0.011,0.645,,-0.0001601948,-0.0001569909,,,,,,-0.0001057286,-5.739809372E-009,5824.7,0.031212,32.0389593746
20219662,3094.1,2720.7,1.1373,1089.6,0.008,0.605,,-0.000233787,-0.0002722178,,,,,,-0.0003171857,-6.774866458E-009,5814.8,0.031212,32.0389593746
20250887,3086.8,2712.2,1.1381,1087.1,0.027,0.625,,-0.0002689205,-0.0003585606,,,,,,-0.0005060048,-0.000000006,5799,0.031225,32.0256204964
20282123,3078.4,2701,1.1397,1087,0.052,0.79,,-0.0002626437,-0.0004227924,,,,,,-0.0006274811,-3.89035413E-009,5779.4,0.031236,32.0143424254
20313344,3070.2,2687.8,1.1423,1088.8,0.081,0.923,,-0.0002242727,-0.0004453415,,,,,,-0.0006854361,-1.855390356E-009,5758,0.031221,32.0297235835
20344556,3063.2,2673.9,1.1456,1091.1,0.107,0.839,,-0.0001634039,-0.0004325398,,,,,,-0.0006696143,5.067689618E-010,5737.1,0.031212,32.0389593746
20375767,3058.1,2660.4,1.1495,1092.3,0.125,0.57,,-7.356468895E-005,-0.0003710219,,,,,,-0.0005959437,2.360326578E-009,5718.5,0.031211,32.0399859024
20407032,3055.8,2648.8,1.1536,1091.5,0.132,0.249,,3.524963148E-005,-0.000269179,,,,,,-0.0004445866,4.849480611E-009,5704.6,0.031265,31.9846473693
20438238,3056.9,2640.4,1.1577,1089,0.132,-0.024,,0.000131305,-0.0001665332,,,,,,-0.0002339294,6.737797085E-009,5697.3,0.031206,32.0451195283
20469463,3061,2635.2,1.1616,1086.3,0.123,-0.293,,0.0001730825,-8.974646623E-005,,,,,,-3.522818255E-005,6.367403384E-009,5696.2,0.031225,32.0256204964
20500662,3066.4,2632.4,1.1649,1085.1,0.105,-0.555,,0.0001345679,-0.000057672,,,,,,0.000083336,3.797091654E-009,5698.8,0.031199,32.0523093689
20531873,3070.6,2630.6,1.1673,1085.9,0.077,-0.914,,3.197748785E-005,-0.000051164,,,,,,0.000076896,-2.064180965E-010,5701.2,0.031211,32.0399859024
20563145,3071.6,2629,1.1683,1088.3,0.034,-1.356,,-8.970908625E-005,-0.000032039,,,,,,-1.918649271E-005,-3.078480628E-009,5700.6,0.031272,31.9774878486
20594357,3068.8,2628,1.1677,1090.9,-0.019,-1.697,,-0.0001698881,1.282174568E-005,,,,,,-0.000121748,-3.279660812E-009,5696.8,0.031212,32.0389593746
20625554,3063.5,2628.4,1.1655,1091.9,-0.071,-1.677,,-0.0001762086,0.00009291,,,,,,-0.0001570664,-1.131562827E-009,5691.9,0.031197,32.0543642017
20656767,3058,2631.3,1.1622,1090.7,-0.108,-1.198,,-0.0001216935,0.0001761353,,,,,,-8.329862557E-005,2.364578614E-009,5689.3,0.031213,32.0379329126
20687993,3054.2,2636.8,1.1583,1088.1,-0.123,-0.474,,-2.879170799E-005,0.0002399309,,,,,,5.444181131E-005,4.412918876E-009,5691,0.031226,32.0245948889
20719252,3053.3,2644.3,1.1547,1085.4,-0.117,0.21,,0.000057696,0.000269248,,,,,,0.0002111392,0.000000005,5697.6,0.031259,31.9907866534
20750450,3055.1,2652.7,1.1517,1084.4,-0.096,0.668,,0.0001184948,0.0002658127,,,,,,0.000326944,3.704688025E-009,5707.8,0.031198,32.0533367524
20781675,3058.8,2661,1.1495,1085.8,-0.07,0.829,,0.000134624,0.0002371947,,,,,,0.0003843074,1.838688733E-009,5719.8,0.031225,32.0256204964
20812873,3063,2668.4,1.1479,1088.9,-0.052,0.58,,9.913021233E-005,0.0002046559,,,,,,0.0003718187,-3.999596359E-010,5731.4,0.031198,32.0533367524
20844145,3066.1,2674.8,1.1463,1092.1,-0.051,0.037,,4.165064719E-005,0.000185826,,,,,,0.0003037861,-2.180670933E-009,5740.9,0.031272,31.9774878486
20875357,3067.4,2680.6,1.1443,1093.8,-0.065,-0.476,,-1.922337562E-005,0.0001826221,,,,,,0.0002274766,-2.440186845E-009,5748,0.031212,32.0389593746
20906569,3066.8,2686.3,1.1417,1093.3,-0.084,-0.583,,-0.00004808,0.000173088,,,,,,0.0001633987,-2.052989836E-009,5753.1,0.031212,32.0389593746
20937767,3065.3,2691.7,1.1388,1091.1,-0.091,-0.248,,-4.805843906E-005,0.0001569909,,,,,,0.000125008,-1.22999742E-009,5757,0.031198,32.0533367524
20968979,3063.8,2696.6,1.1362,1088.7,-0.083,0.257,,-2.239355066E-005,0.0001311622,,,,,,0.0001089325,-5.152750644E-010,5760.4,0.031212,32.0389593746
21000238,3063.1,2700.7,1.1342,1087.7,-0.065,0.587,,3.203895937E-006,0.0001121364,,,,,,0.0001087687,0,5763.8,0.031259,31.9907866534
21031450,3063.2,2704.2,1.1327,1088.9,-0.046,0.615,,2.883506344E-005,9.611687812E-005,,,,,,0.0001153403,2.102299858E-010,5767.4,0.031212,32.0389593746
21062662,3064.1,2707.2,1.1318,1091.5,-0.03,0.5,,6.725380304E-005,9.927942354E-005,,,,,,0.0001249519,3.079484753E-010,5771.3,0.031212,32.0389593746
21093887,3066.2,2710.3,1.1313,1094.2,-0.015,0.489,,0.0001313892,9.293382471E-005,,,,,,0.0001665332,1.332221102E-009,5776.5,0.031225,32.0256204964
21125092,3070.3,2713.2,1.1316,1095.1,0.008,0.745,,0.0002047017,7.356468895E-005,,,,,,0.000224323,1.850754158E-009,5783.5,0.031205,32.0461464509
21156357,3076.7,2715.5,1.133,1093.7,0.045,1.16,,0.0002531078,9.611687812E-006,,,,,,0.0002782664,1.728678319E-009,5792.2,0.031265,31.9846473693
