us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
305473138,-36.5,-60.9,0.5992,-4.6,-0.795,-5.614,-97.4,0.0001120466114,0.0001024426161,0.9142857143,0.0003585491564,0.000000011478348,-0.000000002269495891,0.01092134328,0.0002144892275,-0.000000006184193464,-97.4,,
305504388,-35.7,-59.7,0.5974,-5.6,-0.057,23.623,-95.4,0.0000256,0.0000384,1.5,0.00003072,0.00000000098304,-0.000000002767442821,0.00292992,0.000064,-0.000000004817659427,-95.4,,
305535601,-36.9,-57.7,0.6395,-4.8,1.348,44.998,-94.6,-0.0000384455195,0.00006407586583,-1.666666667,-0.00007689103899,-0.000000002463429949,-0.000000002049456624,0.00006920193509,0.00002563034633,-0.000000001227828917,-94.6,,
305566813,-38.4,-52.5,0.7311,-2.3,2.937,50.91,-90.9,-0.00004805843906,0.0001666025887,-3.466666667,-0.0002499038831,-0.000000008006660359,-0.0000000003079780722,0.003624567474,0.0001185441497,0.000000002976766199,-90.9,,
305598037,-38.1,-43.5,0.8755,0.7,4.622,53.991,-81.6,0.000009607993851,0.0002882398155,30,0.00008647194466,0.000000002769406375,0.000000001847572501,0.01148635665,0.0002978478094,0.000000005744702669,-81.6,,
305629284,-35,-32.1,0.78676,2.6,6.877,72.153,-67.1,0.00009920952411,0.0003648350242,3.677419355,0.001130988575,0.00000003619510913,0.000000002869636506,0.01708484014,0.0004640445483,0.000000005322724151,-67.1,,
305660495,-29.2,-20,0.91596,2.4,11.785,157.261,-49.2,0.0001858319182,0.0003876838294,2.086206897,0.002248566211,0.00000007204402969,0.000000002772182741,0.01728557239,0.0005735157477,0.000000003503414708,-49.2,,
305691721,-21.6,-8.6,1.17684,0.4,34.216,718.342,-30.2,0.0002433869212,0.0003650803817,1.5,0.002774610901,0.00000008885579008,0.000000001844061482,0.01275347467,0.0006084673029,0.000000001119847337,-30.2,,
305785403,4.7,17.5,0.75404,-3.8,22.226,-6640.61,22.2,0.0002807369612,0.0002786020794,0.9923954373,0.007327234688,0.00000007821390115,0.000000001196119902,0.002860848402,0.0005593390406,-0.000000001573312698,22.2,,
305816615,14.6,22.2,0.6592,-1.3,12.528,-310.713,36.8,0.0003171856978,0.0001505831091,0.4747474747,0.00149077278,0.00000004776280853,0.0000000003890687282,0.007749263104,0.0004677688069,-0.0000000009774581426,36.8,,
305847879,25.2,24.8,1.0193,1.9,11.515,-32.371,50,0.0003390481064,0.00008316274309,0.2452830189,0.0008815250768,0.00000002819617057,0.0000000007004488222,0.009622569089,0.0004222108495,-0.000000001459629544,50,,
305879038,35.8,26.1,0.95964,4,11.215,-9.629,61.9,0.0003401906351,0.00004172149299,0.1226415094,0.0004422478257,0.0000000141932612,0,0.0099303572,0.0003819121281,-0.000000001288981622,61.9,,
305910284,44.5,27.4,1.03934,4,8.15,-98.104,71.9,0.0002784356398,0.00004160532548,0.1494252874,0.0003619663317,0.00000001158440542,-0.000000001981931236,0.009118607182,0.0003200409652,-0.000000001985659452,71.9,,
305941518,49.6,29.4,1.0809,2,2.049,-195.336,79,0.0001632836012,0.00006403278479,0.3921568627,0.0003265672024,0.00000001045550369,-0.000000003685336957,0.007649996798,0.000227316386,-0.000000002967566385,79,,
